communityId,avg_pw_dist,diameter
305,1396.3181278786542,3989.580019503939
8502,3647.195249311904,23313.402030090972
3118,4117.162527285797,10906.93041675449
3633,4910.96435784161,12439.543442980557
1251,3456.6695319880914,10399.905869972263
147,1229.8701990048169,4008.2803485888076
964,3132.4986853794153,17603.12668984338
3380,1388.8412275819464,4340.626251917952
1386,1646.4708655539896,4184.247526502619
5437,3215.1801581586838,22146.50774043649
2786,3389.4965532635197,9972.851588171212
4948,9219.316607125538,17184.587467564448
7724,4267.172155523381,29855.568273878667
1794,2279.4399873214084,5729.929247587992
7240,3178.7217932393446,20635.345031640933
6015,1922.221932198089,13737.50742513645
6634,3731.109757793639,15699.970192018576
8561,1752.9992822502134,20598.756691179315
2935,2509.3562154952065,8306.300733573073
2081,1253.2753770848897,2815.954071598229
4239,1452.07908710075,10585.852146269732
4826,4201.398922814624,14107.633320761817
3748,1699.8613076540964,8508.146632233354
2338,1259.9598761094244,3064.096941196813
1655,769.1996514357484,1802.6533764749106
1853,825.7272932458286,1801.6207994583265
1884,825.7272932458286,1801.6207994583265
1900,825.7272932458286,1801.6207994583265
3659,1942.1290670644362,10703.389334106612
1848,323.51867813610846,405.7287135102886
2172,842.465789262071,2045.3995734823081
2245,951.4627832812216,2198.690745801062
2266,1756.29360409416,4746.413273826865
2854,1448.8794442979824,4150.6094425966085
5569,1643.286256209496,7502.451044504168
3678,1614.9526255214555,4196.641388829639
3997,2220.7334799713717,5805.726751448467
3671,742.6267575341377,1623.717437673125
3969,1023.1283163994427,2723.8743989178233
3806,1694.3207402096784,4401.364240381689
4028,1495.2801157009121,4014.9436517370764
3685,1495.2801157009121,4014.9436517370764
3964,345.44470615953946,464.85830279672587
4379,1427.284037939278,4397.099952234434
3852,1427.284037939278,4397.099952234434
4362,530.6194592291421,1025.0593026384859
4146,589.3901810856875,1350.4182654521333
4150,550.2576765001498,1025.0626170013575
4256,529.0607954792035,1025.0615136117062
4459,838.4582895285379,2049.0429244491006
4366,847.5246978275754,2427.2307008153603
4374,578.2502864266188,1143.8852986796228
4548,797.7052729304405,1803.095041806195
4650,431.71929057498517,703.3320127004838
4355,425.7366827399275,704.6949176141428
4471,698.3839838783414,1727.3724361743239
4991,1374.5151246407731,3774.972127083316
4444,1374.5151246407731,3774.972127083316
4556,1374.5151246407731,3774.972127083316
4653,323.42170372999107,405.44473512080225
4758,792.6045108041766,2008.322602683525
7005,2308.566051148588,6367.973620924651
4853,454.8013837092736,772.3002169657352
4855,467.8450687989488,811.4412788039223
4963,809.3016666416588,1803.6599138193415
5039,1031.7591459607133,2529.5922490937423
4846,503.8736244763656,1023.9864020580114
4750,323.4685193704068,405.7243846394733
4967,4180.386315707786,11587.54877420582
4972,706.7154297271368,1803.6398501630129
4877,755.5386336132025,1801.085313929145
4882,680.4734947516396,1410.4039351365575
5268,910.249887574234,3131.718423280175
5146,854.8526125649079,2027.2614157333314
5152,408.30721070922516,703.3309149243212
5159,722.5392195366165,1502.8919154444814
5100,863.4233072575364,2117.3265500875173
5320,904.3095801180598,2309.388037139175
5451,579.9870045109784,1218.0776195149176
5255,478.5106011866059,812.067806558121
5575,895.0942832818666,2306.709237527768
5687,1714.618182686772,4708.944745637886
5163,479.06070487438694,963.7053461575125
5395,926.522357680247,2112.5255080291868
5349,621.3148116783598,1362.9076078575954
5375,621.3148116783598,1362.9076078575954
5455,408.55714596309036,704.6943743414056
5560,914.4602113748202,2339.379921019874
5566,460.7565365932381,810.8644938953125
5639,449.0294656466843,811.473280932662
5441,323.8122469365912,406.36328251732067
5643,233.0236625063221,233.0236625063221
5744,889.0253631147145,2340.030682094983
5553,500.888850139754,1023.4054257790577
5857,625.1819877645459,1409.7480084162444
5967,753.9489444808883,1905.9659446342037
5772,753.9489444808883,1905.9659446342037
6072,1215.8267924090608,3519.7741893236293
6050,967.5051023789724,2508.851105409717
5752,967.5051023789724,2508.851105409717
5855,544.6629676091598,1144.0110796356726
5862,456.2099232347313,810.8709919267201
5737,787.2177913057332,1726.4607567366268
6138,776.161216496154,1905.6301826440135
6059,487.5295443463956,963.8170110068837
6165,733.959278007834,1533.2511555223728
6073,515.7650673668039,1025.8857083138498
5999,525.0582644863335,986.4509700419667
6345,804.1511724889407,2050.376016685078
6396,1643.4755586780839,7298.098320001913
6162,689.6994803423862,1502.886820738871
6077,332.9166282721913,332.9166282721913
6457,670.4815030472763,1410.7917250879686
6375,1184.6187391236072,3452.191263184934
6385,1039.4191261028075,2700.164798814575
6148,1039.4191261028075,2700.164798814575
6371,786.7067327016966,1802.1205258639689
7026,1880.814635938293,6030.231747244461
6753,1154.8587191896622,3134.2609894458797
6747,856.1145486976118,2028.1665093363813
6252,856.1145486976118,2028.1665093363813
6565,544.7882276703095,1100.6987984688105
7085,1377.7327469774627,3301.0240766689903
6795,844.140887163526,2509.9957845827485
6977,1274.8251390343466,3133.8788350779623
6658,435.8843419368273,811.509509708507
6761,408.9506801421196,704.7344745801361
6763,403.3436300949999,571.529621820782
6673,374.86550325756866,571.501261390317
6771,554.8585954196602,998.7455322146786
7159,823.771031121646,1890.0616281870973
7164,846.6482188200318,1926.0416507862371
7267,1110.7222515165731,2572.663733554227
7255,771.2567859828098,1661.4028947601291
7071,405.22310988244084,704.7283870724103
7490,1727.8505968561838,4626.691549818495
7319,629.2888894152288,1340.7875776827611
7052,323.8026000695107,406.63022617426583
7271,572.0329980609944,811.6813667871518
7730,808.5196329598404,1905.3358853460402
8054,1721.078924898474,4708.017311408647
7375,323.7940403313557,406.60556789175
7774,828.2454129474128,1805.2590355516136
7722,437.60983692878153,811.8603699940809
7625,374.94560805302376,571.8963917922096
7662,556.8706888037291,1101.706906777481
7768,899.4422789059666,2605.3424540271076
7985,1113.256875983743,3029.811257227124
7646,332.9131000154394,332.9131000154394
7460,445.65973114646386,704.6922154400329
8380,1315.136898842212,3695.4775989946893
7479,1315.136898842212,3695.4775989946893
